filename,width,height,class,xmin,ymin,xmax,ymax
agri_0_9354.jpeg,512,512,weed,63,120,425,442
agri_0_9354.jpeg,512,512,weed,0,1,180,148
agri_0_7574.jpeg,512,512,crop,95,167,453,469
agri_0_8960.jpeg,512,512,weed,52,76,422,353
agri_0_417.jpeg,512,512,weed,7,75,511,411
agri_0_5994.jpeg,512,512,crop,59,17,419,512
agri_0_9892.jpeg,512,512,weed,21,234,239,473
agri_0_7055.jpeg,512,512,weed,35,104,499,397
agri_0_6697.jpeg,512,512,crop,27,3,468,512
agri_0_1630.jpeg,512,512,crop,12,14,435,511
agri_0_6701.jpeg,512,512,weed,120,175,369,405
agri_0_491.jpeg,512,512,crop,61,84,464,454
agri_0_6904.jpeg,512,512,crop,100,186,402,471
agri_0_6904.jpeg,512,512,crop,188,77,467,256
agri_0_3473.jpeg,512,512,weed,90,0,496,461
agri_0_8496.jpeg,512,512,weed,175,171,322,301
agri_0_8496.jpeg,512,512,weed,12,329,184,497
agri_0_8029.jpeg,512,512,crop,110,156,511,485
agri_0_8029.jpeg,512,512,crop,5,1,357,243
agri_0_1361.jpeg,512,512,crop,11,1,506,507
agri_0_4323.jpeg,512,512,crop,7,8,507,480
agri_0_5967.jpeg,512,512,weed,182,80,460,405
agri_0_1692.jpeg,512,512,weed,77,283,255,474
agri_0_1692.jpeg,512,512,weed,1,96,82,289
agri_0_1692.jpeg,512,512,weed,402,270,504,455
agri_0_7322.jpeg,512,512,crop,42,51,474,468
agri_0_596.jpeg,512,512,crop,65,54,512,420
agri_0_4645.jpeg,512,512,crop,87,24,427,475
agri_0_4488.jpeg,512,512,weed,93,172,411,417
agri_0_4488.jpeg,512,512,weed,24,13,165,149
agri_0_4488.jpeg,512,512,weed,394,65,512,185
agri_0_6312.jpeg,512,512,weed,75,72,333,442
agri_0_8886.jpeg,512,512,weed,100,103,452,356
agri_0_9266.jpeg,512,512,weed,176,169,388,385
agri_0_9810.jpeg,512,512,weed,101,149,414,374
agri_0_4009.jpeg,512,512,weed,90,157,371,411
agri_0_838.jpeg,512,512,crop,28,25,476,440
agri_0_838.jpeg,512,512,crop,20,94,161,211
agri_0_4793.jpeg,512,512,weed,101,115,288,400
agri_0_6461.jpeg,512,512,crop,79,106,109,152
agri_0_6461.jpeg,512,512,crop,152,118,224,199
agri_0_6461.jpeg,512,512,crop,189,219,240,281
agri_0_6461.jpeg,512,512,crop,253,227,315,289
agri_0_6461.jpeg,512,512,crop,322,190,415,289
agri_0_6461.jpeg,512,512,crop,318,23,353,128
agri_0_6461.jpeg,512,512,crop,376,83,417,128
agri_0_6461.jpeg,512,512,crop,269,130,293,170
